Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","11/05/2022 21:50 UTC"
"Last updated:","10 November 2021"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",https://www.unhcr.org/refugee-statistics/download/?url=21yevO
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,VDA,OOC,STA"
Years:
Origin:,ETH
"Country of asylum:",all
Year,"Country of origin","Country of origin (ISO)","Country of asylum","Country of asylum (ISO)","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 5 - 17","Female 18 - 59","Female 60",f_other,"Female total",f_unknown,"Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 5 - 17","Male 18 - 59","Male 60","Male total",m_other,m_unknown,Total
2018,Ethiopia,ETH,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,57
2018,Ethiopia,ETH,Egypt,EGY,456,288,556,,7423,10,,8733,,493,318,412,,5965,6,7194,,,15927
2018,Ethiopia,ETH,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2018,Ethiopia,ETH,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,595
2018,Ethiopia,ETH,Austria,AUT,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,336
2018,Ethiopia,ETH,Belgium,BEL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,171
2018,Ethiopia,ETH,Belarus,BLR,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2018,Ethiopia,ETH,Botswana,BWA,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2018,Ethiopia,ETH,Brazil,BRA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,115
2018,Ethiopia,ETH,Bulgaria,BGR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,13
2018,Ethiopia,ETH,Canada,CAN,126,102,52,,633,8,,921,,80,131,44,,709,9,973,,,2820
2018,Ethiopia,ETH,Chad,TCD,5,0,0,,22,0,,27,,0,0,0,,13,0,13,,,40
2018,Ethiopia,ETH,Colombia,COL,0,0,0,,5,0,,5,,0,0,0,,12,0,12,,,17
2018,Ethiopia,ETH,"Costa Rica",CRI,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,Cuba,CUB,0,0,5,,0,0,,5,,0,0,0,,5,0,5,,,10
2018,Ethiopia,ETH,Cyprus,CYP,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,22
2018,Ethiopia,ETH,Czechia,CZE,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,Denmark,DNK,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,117
2018,Ethiopia,ETH,Djibouti,DJI,727,1251,744,,2518,138,,5378,,737,1344,789,,2078,84,5032,,,10410
2018,Ethiopia,ETH,Ecuador,ECU,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,Eritrea,ERI,0,5,0,,5,0,,10,,0,0,7,,7,0,14,,,24
2018,Ethiopia,ETH,Ethiopia,ETH,5,15,8,,329,11,,1334426,,0,16,10,,59,0,1281827,,,2616253
2018,Ethiopia,ETH,Finland,FIN,0,0,0,,0,0,,11,,0,0,0,,0,0,12,,,172
2018,Ethiopia,ETH,France,FRA,0,0,0,,0,0,,643,,0,0,0,,0,0,780,,,2197
2018,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,2101
2018,Ethiopia,ETH,Georgia,GEO,0,0,0,,5,0,,5,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,Germany,DEU,921,158,165,,3378,160,,4782,,1009,222,197,,5148,152,6728,,,11510
2018,Ethiopia,ETH,Ghana,GHA,0,0,7,,0,0,,7,,0,0,0,,5,0,5,,,12
2018,Ethiopia,ETH,Greece,GRC,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,588
2018,Ethiopia,ETH,Hungary,HUN,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,42
2018,Ethiopia,ETH,"Cote d'Ivoire",CIV,5,5,0,,0,0,,10,,0,0,0,,0,0,0,,,10
2018,Ethiopia,ETH,India,IND,0,0,9,,14,0,,23,,0,6,6,,7,0,19,,,42
2018,Ethiopia,ETH,Indonesia,IDN,22,8,14,,47,0,,91,,11,10,13,,83,0,117,,,208
2018,Ethiopia,ETH,Ireland,IRL,0,0,5,,16,0,,21,,0,0,0,,31,0,31,,,52
2018,Ethiopia,ETH,Iraq,IRQ,0,0,0,,0,0,,0,,5,0,0,,0,0,5,,,5
2018,Ethiopia,ETH,Israel,ISR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,933
2018,Ethiopia,ETH,Italy,ITA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,1496
2018,Ethiopia,ETH,Jordan,JOR,0,0,0,,52,0,,52,,0,0,0,,0,0,0,,,68
2018,Ethiopia,ETH,Japan,JPN,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,28
2018,Ethiopia,ETH,Kenya,KEN,1878,2465,1748,,6701,242,,13034,,1961,2568,1931,,7957,248,14665,,,27699
2018,Ethiopia,ETH,"Rep. of Korea",KOR,15,0,0,,84,0,,99,,5,0,0,,139,0,144,,,243
2018,Ethiopia,ETH,Kuwait,KWT,0,0,0,,6,0,,6,,0,0,0,,5,0,5,,,11
2018,Ethiopia,ETH,Libya,LBY,26,5,17,,389,0,,437,,19,5,46,,669,0,739,,,1176
2018,Ethiopia,ETH,Lebanon,LBN,19,0,5,,467,0,,491,,21,5,0,,38,0,64,,,555
2018,Ethiopia,ETH,Lesotho,LSO,0,0,0,,5,0,,5,,0,0,0,,5,0,5,,,10
2018,Ethiopia,ETH,Lithuania,LTU,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,Luxembourg,LUX,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,68
2018,Ethiopia,ETH,Mauritania,MRT,0,0,0,,6,0,,6,,0,0,0,,0,0,0,,,6
2018,Ethiopia,ETH,Mexico,MEX,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,Malaysia,MYS,0,0,0,,12,0,,12,,0,0,0,,5,0,5,,,17
2018,Ethiopia,ETH,Malawi,MWI,0,0,0,,6,0,,6,,0,0,0,,43,0,43,,,49
2018,Ethiopia,ETH,Mozambique,MOZ,6,0,0,,0,0,,6,,0,0,0,,11,0,11,,,17
2018,Ethiopia,ETH,Malta,MLT,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,206
2018,Ethiopia,ETH,Netherlands,NLD,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,569
2018,Ethiopia,ETH,Niger,NER,10,0,0,,47,0,,57,,0,0,13,,60,0,73,,,130
2018,Ethiopia,ETH,Nigeria,NGA,0,0,0,,0,0,,0,,0,0,0,,6,0,6,,,6
2018,Ethiopia,ETH,Norway,NOR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,2019
2018,Ethiopia,ETH,"New Zealand",NZL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,15
2018,Ethiopia,ETH,Peru,PER,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,Philippines,PHL,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2018,Ethiopia,ETH,Poland,POL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,Portugal,PRT,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,6
2018,Ethiopia,ETH,Romania,ROU,0,0,0,,7,0,,7,,0,0,0,,0,0,0,,,7
2018,Ethiopia,ETH,"South Africa",ZAF,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,67073
2018,Ethiopia,ETH,Somalia,SOM,1375,2540,1396,,4709,115,,10135,,1427,2545,1434,,4542,214,10162,,,20297
2018,Ethiopia,ETH,Spain,ESP,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,73
2018,Ethiopia,ETH,"Serbia and Kosovo: S/RES/1244 (1999)",SRB,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2018,Ethiopia,ETH,"South Sudan",SSD,385,445,349,,1110,70,,2359,,400,509,381,,842,21,2153,,,4512
2018,Ethiopia,ETH,Sudan,SDN,316,1008,804,,5304,443,,7985,,374,1109,792,,6020,765,9060,,,17045
2018,Ethiopia,ETH,Eswatini,SWZ,0,0,0,,7,0,,7,,0,0,0,,52,0,52,,,59
2018,Ethiopia,ETH,Sweden,SWE,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,3230
2018,Ethiopia,ETH,Switzerland,CHE,92,64,21,,452,5,,964,,101,60,64,,473,5,1048,,,2012
2018,Ethiopia,ETH,"Syrian Arab Rep.",SYR,0,0,0,,19,0,,19,,0,0,0,,0,0,0,,,19
2018,Ethiopia,ETH,Thailand,THA,8,0,0,,8,0,,16,,0,6,0,,5,0,11,,,27
2018,Ethiopia,ETH,Turkey,TUR,10,15,5,,182,0,,212,,0,17,0,,108,0,125,,,337
2018,Ethiopia,ETH,"United Arab Emirates",ARE,0,5,0,,0,0,,5,,0,0,0,,5,0,5,,,10
2018,Ethiopia,ETH,Uganda,UGA,123,147,133,,676,17,,1096,,130,162,118,,851,25,1286,,,2382
2018,Ethiopia,ETH,Ukraine,UKR,0,0,0,,5,0,,5,,0,0,0,,26,0,26,,,59
2018,Ethiopia,ETH,"United States of America",USA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,15314
2018,Ethiopia,ETH,Yemen,YEM,305,793,482,,3742,61,,5383,,365,914,779,,6121,101,8280,,,13663
2018,Ethiopia,ETH,Zambia,ZMB,0,0,0,,13,0,,13,,0,5,0,,22,0,27,,,40
2018,Ethiopia,ETH,Zimbabwe,ZWE,9,0,7,,12,0,,28,,0,6,6,,36,0,48,,,76
2019,Ethiopia,ETH,Angola,AGO,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,62
2019,Ethiopia,ETH,Egypt,EGY,557,257,321,,8471,15,,9621,,579,290,240,,5508,14,6631,,,16709
2019,Ethiopia,ETH,Argentina,ARG,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Ethiopia,ETH,Australia,AUS,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,581
2019,Ethiopia,ETH,Austria,AUT,0,0,0,,0,0,,23,,0,0,0,,0,0,54,,,316
2019,Ethiopia,ETH,Belgium,BEL,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,195
2019,Ethiopia,ETH,Belarus,BLR,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Ethiopia,ETH,Botswana,BWA,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Ethiopia,ETH,Brazil,BRA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,119
2019,Ethiopia,ETH,Bulgaria,BGR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,13
2019,Ethiopia,ETH,Canada,CAN,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,2143
2019,Ethiopia,ETH,Chad,TCD,0,5,0,,17,0,,22,,0,0,0,,6,0,6,,,28
2019,Ethiopia,ETH,Cameroon,CMR,0,0,0,,0,0,,0,,0,0,0,,5,0,5,,,5
2019,Ethiopia,ETH,"Dem. Rep. of the Congo",COD,0,5,0,,0,0,,5,,0,0,0,,0,0,0,,,5
2019,Ethiopia,ETH,Colombia,COL,0,0,0,,5,0,,5,,0,0,0,,12,0,12,,,17
2019,Ethiopia,ETH,"Costa Rica",CRI,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Ethiopia,ETH,Cuba,CUB,0,0,0,,0,0,,0,,0,0,0,,6,0,6,,,6
2019,Ethiopia,ETH,Cyprus,CYP,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,24
2019,Ethiopia,ETH,Czechia,CZE,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Ethiopia,ETH,Denmark,DNK,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,104
2019,Ethiopia,ETH,Djibouti,DJI,708,1288,827,,2747,159,,5729,,690,1428,890,,2272,115,5395,,,11195
2019,Ethiopia,ETH,Ecuador,ECU,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,5
2019,Ethiopia,ETH,Eritrea,ERI,0,5,0,,0,0,,5,,5,0,0,,5,0,10,,,15
2019,Ethiopia,ETH,Ethiopia,ETH,0,8,11,,242,16,,277,,10,13,5,,86,0,114,,,1734019
2019,Ethiopia,ETH,Finland,FIN,0,0,0,,0,0,,19,,0,0,0,,0,0,20,,,186
2019,Ethiopia,ETH,France,FRA,0,0,0,,0,0,,752,,0,0,0,,0,0,937,,,2567
2019,Ethiopia,ETH,"United Kingdom of Great Britain and Northern Ireland",GBR,0,0,0,,0,0,,159,,0,0,0,,0,0,448,,,2361
2019,Ethiopia,ETH,Germany,DEU,995,253,114,,3110,160,,4632,,1014,269,137,,4216,161,5797,,,10450
2019,Ethiopia,ETH,Ghana,GHA,0,0,0,,10,0,,10,,5,0,0,,0,0,5,,,15
2019,Ethiopia,ETH,Greece,GRC,0,0,0,,0,0,,51,,0,0,0,,0,0,46,,,513
2019,Ethiopia,ETH,Hungary,HUN,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,39
2019,Ethiopia,ETH,"Cote d'Ivoire",CIV,5,5,0,,0,0,,10,,0,0,0,,0,0,0,,,10
2019,Ethiopia,ETH,India,IND,0,5,7,,10,0,,22,,0,6,6,,8,0,20,,,42
2019,Ethiopia,ETH,Indonesia,IDN,30,9,0,,42,0,,81,,6,12,12,,57,0,87,,,168
2019,Ethiopia,ETH,Ireland,IRL,0,0,0,,22,0,,22,,0,0,0,,28,0,28,,,50
2019,Ethiopia,ETH,Israel,ISR,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,915
2019,Ethiopia,ETH,Italy,ITA,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,1551
2019,Ethiopia,ETH,Jordan,JOR,0,0,0,,42,0,,42,,0,0,0,,0,0,0,,,42
2019,Ethiopia,ETH,Japan,JPN,0,0,0,,0,0,,0,,0,0,0,,0,0,0,,,31
